,ids,names,current_prices
82,67edfe25d021bd5ffb8c40e7,Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,17490000.0
83,67edfe25d021bd5ffb8c40e8,Điện thoại Samsung Galaxy A25 5G 8GB/128GB,6190000.0
84,67edfe25d021bd5ffb8c40e9,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,16990000.0
85,67edfe25d021bd5ffb8c40ea,Điện thoại Xiaomi 14T 5G 12GB/512GB Xanh,12590000.0
86,67edfe25d021bd5ffb8c40eb,Điện thoại Xiaomi 14T 5G 12GB/256GB,11590000.0
87,67edfe25d021bd5ffb8c40ec,Điện thoại Xiaomi 14T 5G 12GB/512GB,12690000.0
88,67edfe26d021bd5ffb8c40ed,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,14890000.0
89,67edfe26d021bd5ffb8c40ee,Điện thoại OPPO A3 6GB/128GB,4590000.0
90,67edfe26d021bd5ffb8c40ef,Điện thoại OPPO A3 8GB/128GB,5290000.0
91,67edfe26d021bd5ffb8c40f0,Điện thoại OPPO A3 8GB/256GB,5990000.0
92,67edfe26d021bd5ffb8c40f1,Điện thoại Tecno Spark GO 1 3GB/64GB,1890000.0
93,67edfe26d021bd5ffb8c40f2,Điện thoại OPPO Reno12 F 8GB/256GB,7890000.0
94,67edfe26d021bd5ffb8c40f3,Điện thoại realme C65s 6GB/128GB,2790000.0
95,67edfe26d021bd5ffb8c40f4,Điện thoại realme C65s 8GB/256GB,4790000.0
96,67edfe26d021bd5ffb8c40f5,Điện thoại realme C65s 8GB/128GB,4090000.0
97,67edfe26d021bd5ffb8c40f6,Điện thoại vivo Y19s 4GB/128GB,3790000.0
98,67edfe26d021bd5ffb8c40f7,Điện thoại vivo Y19s 6GB/128GB,4090000.0
99,67edfe26d021bd5ffb8c40f8,Điện thoại vivo Y19s 8GB/128GB,4590000.0
100,67edfe27d021bd5ffb8c40f9,Điện thoại HONOR X8b 8GB/512GB,5990000.0
101,67edfe27d021bd5ffb8c40fa,Điện thoại HONOR X6b 6GB/128GB Đen/Xanh lá,3390000.0
102,67edfe27d021bd5ffb8c40fb,Điện thoại HONOR X6b 6GB/128GB Tím,3390000.0
103,67edfe27d021bd5ffb8c40fc,Điện thoại Samsung Galaxy S24+ 5G 12GB/256GB,20990000.0
104,67edfe27d021bd5ffb8c40fd,Điện thoại iPhone 13 128GB,12090000.0
105,67edfe27d021bd5ffb8c40fe,Điện thoại iPhone 13 512GB,21990000.0
106,67edfe27d021bd5ffb8c40ff,Điện thoại iPhone 12 64GB,10590000.0
107,67edfe27d021bd5ffb8c4100,Điện thoại iPhone 12 128GB,11590000.0
108,67edfe27d021bd5ffb8c4101,Điện thoại Xiaomi Redmi 13 6GB/128GB,3090000.0
109,67edfe27d021bd5ffb8c4102,Điện thoại Xiaomi Redmi 13 8GB/128GB,3490000.0
110,67edfe28d021bd5ffb8c4103,Điện thoại Xiaomi Redmi A3 3GB/64GB,2090000.0
111,67edfe28d021bd5ffb8c4104,Điện thoại Xiaomi Redmi 14C 4GB/128GB,2990000.0
112,67edfe28d021bd5ffb8c4105,Điện thoại Xiaomi Redmi 14C 6GB/128GB,3390000.0
113,67edfe28d021bd5ffb8c4106,Điện thoại OPPO Find X8 5G 16GB/512GB,21990000.0
114,67edfe28d021bd5ffb8c4107,Điện thoại OPPO Find X8 5G 16GB/512GB Hồng,21990000.0
115,67edfe28d021bd5ffb8c4108,Điện thoại realme 12 8GB/256GB,6490000.0
116,67edfe28d021bd5ffb8c4109,Điện thoại realme 12 8GB/512GB,6890000.0
117,67edfe28d021bd5ffb8c410a,Điện thoại vivo Y03 4GB/64GB,2990000.0
118,67edfe28d021bd5ffb8c410b,Điện thoại vivo Y03 4GB/128GB,3290000.0
119,67edfe28d021bd5ffb8c410c,Điện thoại realme Note 60 4GB/128GB,3390000.0
120,67edfe28d021bd5ffb8c410d,Điện thoại realme Note 60 4GB/64GB,2890000.0
121,67edfe29d021bd5ffb8c410e,Điện thoại realme Note 60 6GB/128GB,3790000.0
122,67edfe29d021bd5ffb8c410f,Điện thoại vivo V30e 5G 8GB/256GB,7660000.0
123,67edfe29d021bd5ffb8c4110,Điện thoại vivo V30e 5G 12GB/256GB,9990000.0
124,67edfe29d021bd5ffb8c4111,Điện thoại realme Note 50 3GB/64GB,2490000.0
125,67edfe29d021bd5ffb8c4112,Điện thoại realme Note 50 4GB/128GB,2290000.0
126,67edfe29d021bd5ffb8c4113,Điện thoại vivo V30 5G 12GB/512GB,12790000.0
127,67edfe29d021bd5ffb8c4114,Điện thoại realme C61 4GB/128GB,3290000.0
128,67edfe29d021bd5ffb8c4115,Điện thoại Viettel Sumo 4G T2,550000.0
129,67edfe29d021bd5ffb8c4116,Điện thoại Nokia 105 4G Pro,680000.0
130,67edfe29d021bd5ffb8c4117,Điện thoại Benco 4G G3,380000.0
131,67edfe29d021bd5ffb8c4118,Điện thoại Samsung Galaxy A55 5G 8GB/256GB,9890000.0
132,67edfe2ad021bd5ffb8c4119,Điện thoại Samsung Galaxy A55 5G 12GB/256GB,10890000.0
133,67edfe2ad021bd5ffb8c411a,Điện thoại Masstel IZI T6 4G,500000.0
134,67edfe2ad021bd5ffb8c411b,Điện thoại Mobell M239 4G,440000.0
135,67edfe2ad021bd5ffb8c411c,Điện thoại Nokia HMD 105 4G,650000.0
136,67edfe2ad021bd5ffb8c411d,Điện thoại Nokia 220 4G,990000.0
137,67edfe2ad021bd5ffb8c411e,Điện thoại Masstel IZI 10,410000.0
138,67edfe2ad021bd5ffb8c411f,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,7990000.0
139,67edfe2ad021bd5ffb8c4120,Điện thoại Nokia 110 4G Pro,750000.0
140,67edfe2ad021bd5ffb8c4121,Điện thoại Masstel Fami 50 4G,600000.0
