,ids,names
71,67edfe7ad021bd5ffb8c4242,Laptop MSI Creator Z17 HX Studio A14VGT i7 14700HX/32GB/2TB/8GB RTX4070/165Hz/Touch/Pen/Balo/Win11 (272VN)
72,67edfe79d021bd5ffb8c422e,Laptop Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS/32GB/1TB/8GB RTX4060/165Hz/Win11 (83DH003BVN)
73,67edfe79d021bd5ffb8c4231,Laptop Asus Vivobook 14X OLED K3405VC i5 13500H/16GB/512GB/4GB RTX3050/Win11 (KM006W)
74,67edfe79d021bd5ffb8c4234,Laptop Lenovo Gaming Legion Pro 7 16IRX9H i9 14900HX/32GB/1TB/16GB RTX4090/240Hz/Win11 (83DE001MVN)
75,67edfe7bd021bd5ffb8c4248,Laptop MSI Creator M16 HX C14VFG i7 14700HX/32GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (040VN)
76,67edfe79d021bd5ffb8c4238,Laptop Asus ROG Strix G16 G614JU i7 13650HX/32GB/1TB/6GB RTX4050/165Hz/Win11 (N3509W)
77,67edfe7bd021bd5ffb8c4249,Laptop MSI Cyborg 15 A13VFK i7 13620H/16GB/512GB/8GB RTX4060/144Hz/Balo/Win11 (876VN)
78,67edfe7ad021bd5ffb8c4241,Laptop Asus TUF Gaming A15 FA507NU R5 7535HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP105W)
79,67edfe7ad021bd5ffb8c4240,Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W)
80,67edfe7bd021bd5ffb8c4247,Laptop HP OMEN 16 xf0071AX R7 7840HS/32GB/1TB/8GB RTX4060/240Hz/Win11 (8W946PA)
81,67edfe7bd021bd5ffb8c424b,Laptop Asus TUF Gaming A14 FA401WV R9 AI HX 370/16GB/1TB/8GB RTX4060/165Hz/OfficeHS/Office365/Win11 (RG062WS)
82,67edfe7bd021bd5ffb8c4255,Laptop MSI Gaming Katana A15 AI B8VG R9 8945HS/16GB/1TB/8GB RTX4070/144Hz/Balo/Lót chuột/Chuột/Win11 (466VN)
83,67edfe7cd021bd5ffb8c4256,Laptop MacBook Pro 14 inch M4 16GB/512GB
84,67edfe7cd021bd5ffb8c4257,Laptop MacBook Pro 14 inch M4 Pro 24GB/512GB
85,67edfe7cd021bd5ffb8c425b,Laptop MacBook Pro 14 inch M4 Pro 24GB/1TB
86,67edfe7dd021bd5ffb8c426b,Laptop MacBook Pro 14 inch M4 Pro 48GB/1TB
87,67edfe7dd021bd5ffb8c4265,Laptop MacBook Pro 14 inch Nano M4 Pro 24GB/512GB
