,ids,names,current_prices
71,67edfe6cd021bd5ffb8c4190,Laptop Asus Gaming TUF A15 FA507NUR R7 7435HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP057W),24890000
72,67edfe6cd021bd5ffb8c4191,Laptop Dell Vostro 3530 i5 1335U/16GB/512GB/120Hz/OfficeHS/Win11 (80GG93),18490000
73,67edfe6dd021bd5ffb8c4192,Laptop MSI Gaming Katana 15 B13UDXK i7 13620H/16GB/1TB/6GB RTX3050/144Hz/Balo/Win11 (2077VN),24090000
74,67edfe6dd021bd5ffb8c4193,Laptop Lenovo V14 G4 i7 1355U/16GB/512GB/Win11 (83A00012VN),19190000
75,67edfe6dd021bd5ffb8c4194,Laptop GIGABYTE G5 MF5 RC555 i5 13500H/16GB/512GB/6GB RTX4050/144Hz/Win11 (9RC55MF5FEIAA1VN0C0),21990000
76,67edfe6dd021bd5ffb8c4195,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),16190000
77,67edfe6dd021bd5ffb8c4196,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71043888),21490000
78,67edfe6dd021bd5ffb8c4197,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),12990000
79,67edfe6dd021bd5ffb8c4198,Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA),23590000
80,67edfe6dd021bd5ffb8c4199,Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/120Hz/Win11 (MA467W),18190000
81,67edfe6dd021bd5ffb8c419a,Laptop HP 15 fd1063TU Ultra 5 125H/16GB/512GB/Win11 (9Z2Y1PA),19690000
82,67edfe6dd021bd5ffb8c419b,Laptop Lenovo IdeaPad Slim 3 15IRH10 i7 13620H/24GB/512GB/Win11 (83K1000FVN),20490000
83,67edfe6dd021bd5ffb8c419c,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 5 125H/16GB/512GB/Túi/Win11,26990000
84,67edfe6dd021bd5ffb8c419d,Laptop MSI Gaming Cyborg 15 A13VEK i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (1423VN),24690000
85,67edfe6dd021bd5ffb8c419e,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/24GB/512GB/4GB RTX2050/144Hz/Win11 (83GS00DBVN),21490000
86,67edfe6dd021bd5ffb8c419f,Laptop HP Pavilion 15 eg2088TU i7 1260P/16GB/512GB/Win11 (7C0R0PA),21690000
87,67edfe6ed021bd5ffb8c41a0,Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U/16GB/512GB/Win11 (NX.J39SV.002),14990000
